Neighborhoods,Year Built,Years Vacant
The Gate District,1893,7
The Gate District,1888,20
The Gate District,1892,2
The Gate District,1892,2
The Gate District,1905,3
The Gate District,1910,4
The Gate District,1900,2
The Gate District,1900,22
Compton Heights,1905,4
The Gate District,1894,27
Fox Park,1887,5
The Gate District,1893,10
Fox Park,1905,8
Fox Park,1896,6
Fox Park,1873,8
Fox Park,1898,9
Fox Park,1896,18
Fox Park,1900,29
Fox Park,1888,3
Fox Park,1895,1
Fox Park,1890,4
Fox Park,1907,5
Fox Park,1903,0
Fox Park,1888,15
Fox Park,1911,5
McKinley Heights,1888,6
McKinley Heights,1891,7
Benton Park,1885,6
Fairground Neighborhood,1900,27
Fairground Neighborhood,1901,8
Fairground Neighborhood,1901,8
Benton Park,1878,1
Benton Park West,1890,5
Benton Park West,1889,4
Benton Park West,1910,10
Benton Park West,1886,11
Fox Park,1890,1
Fox Park,1885,11
Tower Grove East,1913,23
Tower Grove East,1909,10
Tower Grove East,1909,10
Tower Grove East,1896,6
Tower Grove East,1925,8
Tower Grove East,1901,10
Tower Grove East,1884,10
Benton Park West,1890,2
Benton Park West,1895,1
Benton Park West,1895,2
Benton Park West,1906,2
Benton Park West,1893,1
Benton Park West,1893,8
Benton Park West,1924,1
Benton Park West,1895,2
Benton Park West,1885,2
Benton Park West,1885,5
Benton Park West,1912,15
Tower Grove East,1921,5
Tower Grove East,1905,6
Benton Park West,1912,6
Benton Park West,1911,3
Benton Park West,1911,6
Benton Park West,1905,4
Benton Park West,1913,6
Benton Park West,1904,3
Benton Park West,1909,4
Benton Park West,1900,5
Benton Park West,1902,21
Benton Park West,1896,2
Benton Park West,1915,2
Benton Park West,1915,6
Benton Park West,1911,1
Benton Park West,1895,4
Benton Park West,1896,4
Benton Park West,1900,9
Benton Park West,1909,5
Benton Park West,1903,6
Benton Park West,1885,7
Benton Park West,1900,6
Benton Park West,1898,8
Benton Park West,1936,3
Benton Park West,1879,2
Benton Park West,1905,1
Benton Park West,1912,2
Benton Park West,1904,3
Benton Park West,1898,1
Benton Park West,1890,7
Benton Park West,1890,10
Benton Park West,1893,2
Benton Park West,1892,2
Benton Park West,1894,1
Benton Park West,1900,2
Benton Park West,1898,1
Benton Park West,1894,10
Benton Park West,1909,8
Benton Park West,1909,5
Benton Park West,1909,8
Benton Park West,1899,6
Benton Park West,1890,23
Benton Park West,1890,23
Benton Park West,1884,12
Benton Park West,1885,8
Benton Park West,1890,17
Benton Park West,1888,9
Benton Park West,1879,3
Benton Park West,1890,2
Benton Park West,1910,1
Benton Park West,1890,3
Benton Park West,1896,6
Benton Park West,1908,3
Benton Park,1894,1
Benton Park,1906,6
Benton Park,1894,6
Benton Park,1907,14
Benton Park,1886,6
Marine Villa,1889,2
Marine Villa,1897,2
Marine Villa,1902,8
Marine Villa,1886,2
Marine Villa,1890,5
Marine Villa,1890,2
Marine Villa,1883,10
Marine Villa,1884,8
Marine Villa,1889,8
Marine Villa,1889,9
Gravois Park,1909,9
Gravois Park,1919,9
Gravois Park,1906,0
Gravois Park,1913,0
Gravois Park,1912,1
Gravois Park,1921,2
Gravois Park,1893,7
Gravois Park,1890,8
Gravois Park,1890,9
Gravois Park,1893,16
Gravois Park,1890,13
Gravois Park,1892,15
Gravois Park,1894,2
Gravois Park,1893,15
Gravois Park,2005,18
Gravois Park,1894,4
Gravois Park,1896,10
Gravois Park,1923,16
Gravois Park,1923,16
Gravois Park,1923,16
Gravois Park,1896,8
Gravois Park,1896,8
Gravois Park,1893,8
Gravois Park,1908,8
Gravois Park,1908,8
Gravois Park,1923,2
Gravois Park,1910,9
Gravois Park,1910,8
Gravois Park,1914,16
Gravois Park,1923,11
Gravois Park,1893,27
Gravois Park,1905,8
Gravois Park,1922,0
Gravois Park,1885,8
Gravois Park,1889,8
Gravois Park,1922,0
Benton Park West,1906,2
Benton Park West,1904,4
Benton Park West,1906,11
Benton Park West,1892,8
Benton Park West,1899,2
Gravois Park,1891,14
Gravois Park,1908,11
Benton Park West,1907,6
Tower Grove South,1910,3
Gravois Park,1880,0
Gravois Park,1908,11
Gravois Park,1899,16
Gravois Park,1909,8
Dutchtown,1910,4
Dutchtown,1912,7
Dutchtown,1908,5
Gravois Park,1910,8
Gravois Park,1904,8
Gravois Park,1907,1
Gravois Park,1923,8
Gravois Park,1903,5
Gravois Park,1911,7
Gravois Park,1909,8
Gravois Park,1937,8
Gravois Park,1914,8
Gravois Park,1914,16
Gravois Park,1914,8
Gravois Park,1895,10
Gravois Park,1902,14
Gravois Park,1884,22
Dutchtown,1904,6
Dutchtown,1902,0
Gravois Park,1906,19
Dutchtown,1890,2
Dutchtown,1912,2
Gravois Park,1908,3
Dutchtown,1897,5
Dutchtown,1897,10
Gravois Park,1884,13
Gravois Park,1897,4
Gravois Park,1892,21
Gravois Park,1892,9
Gravois Park,1884,8
Gravois Park,1884,15
Gravois Park,1890,9
Gravois Park,1883,8
Gravois Park,1910,9
Gravois Park,1884,15
Gravois Park,1885,12
Gravois Park,1894,12
Gravois Park,1891,8
Gravois Park,1961,13
Gravois Park,1926,8
Gravois Park,1891,17
Dutchtown,1892,9
Dutchtown,1892,4
Dutchtown,1909,4
Gravois Park,1879,9
Gravois Park,1912,11
Gravois Park,1884,9
Gravois Park,1894,8
Gravois Park,1907,10
Gravois Park,1892,9
Gravois Park,1926,9
Gravois Park,1892,7
Gravois Park,1892,11
Gravois Park,1888,16
Gravois Park,1882,13
Gravois Park,1885,14
Gravois Park,1884,16
Gravois Park,1892,0
Gravois Park,1884,13
Gravois Park,1881,10
Dutchtown,1893,1
Dutchtown,1900,5
Dutchtown,1908,9
Gravois Park,1879,22
Gravois Park,1882,11
Dutchtown,1893,9
Marine Villa,1912,0
Marine Villa,1894,8
Marine Villa,1895,12
Marine Villa,1884,3
Marine Villa,1884,9
Marine Villa,1874,23
Marine Villa,1890,10
Marine Villa,1890,10
Marine Villa,1885,8
Marine Villa,1881,13
Marine Villa,1895,4
Marine Villa,1895,4
Marine Villa,1957,5
Marine Villa,1883,13
Marine Villa,1896,12
Marine Villa,1907,5
Hyde Park,1937,4
Hyde Park,1905,4
Benton Park West,1890,6
Benton Park West,1887,20
Benton Park West,1883,6
Benton Park West,1895,10
Benton Park West,1906,5
Benton Park West,1893,4
Benton Park West,1875,5
Benton Park,1885,2
Benton Park,1885,3
The Gate District,2002,1
Jeff Vanderlou,1895,11
Jeff Vanderlou,1895,6
Jeff Vanderlou,1895,6
Jeff Vanderlou,1884,18
Jeff Vanderlou,1885,14
Jeff Vanderlou,1885,8
Jeff Vanderlou,1885,7
Jeff Vanderlou,1889,6
Jeff Vanderlou,1903,5
Jeff Vanderlou,1898,8
Jeff Vanderlou,1900,6
Jeff Vanderlou,1903,6
Jeff Vanderlou,1903,6
Jeff Vanderlou,1893,5
Jeff Vanderlou,1888,7
Jeff Vanderlou,1893,10
Jeff Vanderlou,1893,14
Covenant Blu-Grand Center,1890,1
Covenant Blu-Grand Center,1887,4
Covenant Blu-Grand Center,1888,6
Covenant Blu-Grand Center,1888,3
Covenant Blu-Grand Center,1884,3
Covenant Blu-Grand Center,1884,16
Jeff Vanderlou,1900,5
Jeff Vanderlou,1886,8
Jeff Vanderlou,1881,21
Jeff Vanderlou,1884,15
Jeff Vanderlou,1888,9
Jeff Vanderlou,1887,4
Jeff Vanderlou,1886,29
Jeff Vanderlou,1885,4
Jeff Vanderlou,1891,15
Jeff Vanderlou,1886,7
Jeff Vanderlou,1894,5
Jeff Vanderlou,1884,2
Jeff Vanderlou,1889,16
Jeff Vanderlou,1888,8
Jeff Vanderlou,1884,2
Jeff Vanderlou,1884,1
Jeff Vanderlou,1884,4
Jeff Vanderlou,1884,1
Jeff Vanderlou,1884,4
Jeff Vanderlou,1956,20
Jeff Vanderlou,2003,9
Jeff Vanderlou,1893,10
Jeff Vanderlou,1893,11
Jeff Vanderlou,1892,6
Jeff Vanderlou,1893,6
Jeff Vanderlou,1893,6
Jeff Vanderlou,1927,6
Jeff Vanderlou,1927,6
Jeff Vanderlou,1927,6
St. Louis Place,1875,0
Forest Park South East,1893,0
Mark Twain,1940,0
Walnut Park East,1917,3
Walnut Park East,1927,0
O'Fallon,1950,2
Penrose,1930,0
Jeff Vanderlou,1899,0
Walnut Park East,1924,0
Ellendale,1912,0
Academy,1903,6
Patch,1890,0
Academy,1905,0
Baden,1925,0
Academy,1897,0
Walnut Park West,1910,0
Vandeventer,1893,12
Dutchtown,1902,0
Penrose,1929,0
Kingsway East,1922,0
Walnut Park West,1950,0
Jeff Vanderlou,1907,0
Baden,1911,0
Greater Ville,1916,0
Wells Goodfellow,1909,0
Walnut Park East,1951,0
Hamilton Heights,1928,0
Walnut Park West,1928,5
Walnut Park East,1911,1
Marine Villa,1890,0
Patch,1897,2
Patch,1893,15
Gravois Park,1880,0
West End,1906,4
Jeff Vanderlou,1906,3
Marine Villa,1896,0
The Gate District,1902,6
West End,1895,0
The Ville,1929,2
Kingsway East,1889,18
Vandeventer,1894,0
O'Fallon,1913,13
Mark Twain,1927,0
Wells Goodfellow,1908,0
Wells Goodfellow,1908,0
Baden,1940,3
Greater Ville,1924,25
Benton Park West,1892,2
Hyde Park,1924,17
Hyde Park,1924,17
The Ville,1885,12
Forest Park South East,1891,6
The Ville,1885,1
The Ville,1889,7
St. Louis Place,1890,5
Jeff Vanderlou,1887,28
Greater Ville,1897,8
The Ville,1924,5
The Ville,1928,4
Lewis Place,1906,5
Lewis Place,1892,4
West End,1895,5
Greater Ville,1903,4
West End,1900,2
Forest Park South East,1901,10
Central West End,1901,5
Lewis Place,1901,7
Central West End,1894,1
Vandeventer,1909,10
Forest Park South East,1895,7
The Hill,1890,18
Old North St. Louis,1894,6
Greater Ville,1892,10
Greater Ville,1898,6
Wells Goodfellow,1903,2
Near North Riverfront,1894,20
Vandeventer,1898,1
West End,1896,20
West End,1896,20
Academy,1895,24
Academy,1903,9
Academy,1896,8
Mount Pleasant,1888,7
Greater Ville,1887,9
Jeff Vanderlou,1948,2
Forest Park South East,1893,11
Forest Park South East,1913,11
The Gate District,1895,19
Forest Park South East,1911,10
Vandeventer,1899,6
Fountain Park,1894,11
Lewis Place,1900,2
Academy,1903,9
Greater Ville,1911,9
Cheltenham,1910,9
Lewis Place,1911,5
Academy,1902,7
Benton Park West,1889,10
Mark Twain,1963,7
Mark Twain,1931,18
Forest Park South East,1892,13
O'Fallon,1892,1
Mark Twain,1907,2
Baden,1949,6
Mount Pleasant,1906,1
Kingsway East,1933,23
Benton Park West,1917,2
Benton Park West,1909,2
Jeff Vanderlou,1906,23
Fairground Neighborhood,1910,6
Jeff Vanderlou,1882,7
Jeff Vanderlou,1911,11
Hyde Park,1892,20
Dutchtown,1895,4
Dutchtown,1895,4
Mount Pleasant,1898,10
Dutchtown,1908,9
Mount Pleasant,1905,2
College Hill,1928,2
College Hill,1892,2
O'Fallon,1904,2
O'Fallon,1913,2
O'Fallon,1910,1
O'Fallon,1908,2
O'Fallon,1911,1
Tower Grove South,1906,6
Greater Ville,1897,2
Greater Ville,1894,5
Greater Ville,1898,1
The Ville,1925,5
The Ville,1926,1
Greater Ville,1901,4
Lewis Place,1894,5
Fountain Park,1893,7
Kingsway East,1906,4
Hamilton Heights,1904,3
Hamilton Heights,1904,2
Hamilton Heights,1905,3
Hamilton Heights,1905,2
West End,1906,9
West End,1904,8
Greater Ville,1906,5
Vandeventer,1890,1
Academy,1891,16
Hamilton Heights,1906,2
Hamilton Heights,1912,8
Hamilton Heights,1909,4
West End,1908,1
West End,1908,2
Hamilton Heights,1908,1
Hamilton Heights,1914,2
Forest Park South East,1890,14
West End,1904,2
Penrose,1926,8
Penrose,1926,2
Penrose,1916,1
O'Fallon,1925,8
Greater Ville,1908,2
Kingsway East,1912,4
Greater Ville,1909,14
Greater Ville,1904,1
Kingsway East,1907,3
Wells Goodfellow,1926,16
Vandeventer,1903,1
Penrose,1953,3
Academy,1898,11
Wells Goodfellow,1897,3
Wells Goodfellow,1901,2
Kingsway East,1901,4
Forest Park South East,1892,8
Academy,1901,8
Academy,1901,8
Greater Ville,1908,5
Baden,1922,9
Baden,1902,6
Walnut Park East,1922,3
Southwest Garden,1905,25
Mark Twain,1926,2
Walnut Park East,1914,3
Walnut Park West,1953,1
Penrose,1909,2
Mark Twain,1929,12
Walnut Park West,1919,2
Baden,1946,5
Mark Twain,1928,5
Jeff Vanderlou,1903,5
College Hill,1895,2
Patch,1897,6
O'Fallon,1889,5
Wells Goodfellow,1891,8
Tower Grove South,1928,8
Penrose,1924,21
Penrose,1905,2
Forest Park South East,1890,6
Franz Park,1888,5
Walnut Park East,1909,10
Wells Goodfellow,1905,2
Wells Goodfellow,1902,1
Wells Goodfellow,1905,1
Wells Goodfellow,1905,14
Wells Goodfellow,1906,1
Wells Goodfellow,1904,1
Mark Twain,1973,15
Walnut Park West,1926,3
Walnut Park West,1930,4
Walnut Park West,1951,3
Baden,1921,1
Baden,1925,3
Baden,1923,8
Baden,1939,5
Walnut Park East,1962,1
Mark Twain,1904,4
St. Louis Place,1926,9
Walnut Park West,1947,3
Baden,1925,4
Benton Park West,1890,7
Benton Park West,1890,7
College Hill,1938,23
Greater Ville,1906,10
Fountain Park,1905,5
Lewis Place,1885,6
Baden,1942,1
Penrose,1920,2
Penrose,1925,2
Penrose,1926,2
Penrose,1927,5
Kingsway East,1912,9
Penrose,1923,2
Wells Goodfellow,1908,3
Academy,1906,6
Baden,1924,1
Baden,1930,4
Walnut Park East,1950,2
Walnut Park East,1921,2
Baden,1926,4
Baden,1949,1
Hamilton Heights,2006,1
Cheltenham,1909,1
Penrose,1908,7
Walnut Park East,1915,8
Walnut Park West,1923,1
Baden,1906,1
Walnut Park East,1962,4
Baden,1904,4
Forest Park South East,1895,4
McKinley Heights,1891,1
Hyde Park,1905,5
O'Fallon,1914,5
Lewis Place,1898,4
Lewis Place,1898,9
Academy,1892,9
Academy,1903,5
Hamilton Heights,1896,1
West End,1905,1
West End,1900,2
Hamilton Heights,1905,2
West End,1905,13
Central West End,1892,3
West End,1925,3
Kingsway East,1900,4
Lewis Place,1894,2
Academy,1892,4
West End,1892,8
O'Fallon,1890,1
West End,1894,8
Mount Pleasant,1900,3
Wells Goodfellow,1908,2
Franz Park,1889,5
Walnut Park East,1906,1
West End,1905,7
Baden,1923,1
St. Louis Place,1891,3
O'Fallon,1906,1
Baden,1939,4
Penrose,1924,2
Academy,1899,4
Penrose,1931,2
Baden,1948,3
West End,1886,2
Baden,1915,2
Hyde Park,1911,6
Cheltenham,1942,3
Clayton-Tamm,1902,4
Kingsway East,1920,7
Mark Twain,1923,4
Kingsway East,1905,4
St. Louis Place,1902,10
Soulard,1881,17
Mark Twain,1910,3
North Riverfront,1948,12
Greater Ville,1902,12
Dutchtown,1910,2
O'Fallon,1906,7
O'Fallon,1902,11
Greater Ville,1881,5
Academy,1896,4
West End,1906,5
Hamilton Heights,1916,1
Kingsway East,1903,2
Kingsway West,1910,4
Wells Goodfellow,1924,3
Greater Ville,1912,5
Wells Goodfellow,1900,6
Walnut Park East,1914,3
Mark Twain,1933,1
Penrose,1904,1
Wells Goodfellow,1884,2
Penrose,1920,2
Wells Goodfellow,1907,3
Walnut Park East,1919,1
Baden,1907,9
The Ville,1892,1
Fairground Neighborhood,1902,1
O'Fallon,1922,13
Kingsway East,1907,3
Mark Twain,1927,4
Walnut Park East,1915,3
West End,1906,2
Penrose,1936,2
Walnut Park West,1948,1
Forest Park South East,1895,10
Penrose,1933,11
Baden,1906,4
Soulard,1890,18
Baden,1928,7
Hyde Park,1909,12
Greater Ville,1910,3
Greater Ville,1911,2
Lewis Place,1906,3
Walnut Park East,1923,2
Baden,1904,1
O'Fallon,1908,10
Vandeventer,1890,1
Dutchtown,1908,1
Forest Park South East,1890,6
Jeff Vanderlou,1894,4
Jeff Vanderlou,1889,6
Carondelet,1904,11
Hyde Park,1899,27
The Ville,1926,9
Lewis Place,1906,5
Lewis Place,1895,9
Vandeventer,1886,8
Hamilton Heights,1910,20
Hamilton Heights,1908,7
Forest Park South East,1885,11
Forest Park South East,1896,6
Academy,1902,7
Wells Goodfellow,1923,9
Academy,1906,8
Greater Ville,1910,7
Greater Ville,1973,22
St. Louis Place,1890,11
Greater Ville,1915,11
St. Louis Place,1896,22
St. Louis Place,1904,8
Jeff Vanderlou,1893,6
Dutchtown,1898,15
West End,1893,11
Forest Park South East,1884,13
Academy,1895,6
Jeff Vanderlou,1889,8
Fountain Park,1900,19
West End,1894,8
Lewis Place,1894,9
Fountain Park,1900,5
Forest Park South East,1894,10
Baden,1926,3
Jeff Vanderlou,1906,11
Jeff Vanderlou,1887,10
Gravois Park,1885,20
Jeff Vanderlou,1887,10
Jeff Vanderlou,1906,10
Jeff Vanderlou,1906,13
Jeff Vanderlou,1888,7
Jeff Vanderlou,1884,10
Jeff Vanderlou,1889,20
Jeff Vanderlou,1892,10
Jeff Vanderlou,1895,8
Jeff Vanderlou,1899,17
Jeff Vanderlou,1893,1
St. Louis Place,1896,11
Hyde Park,1890,20
Jeff Vanderlou,1909,6
Fountain Park,1893,4
West End,1904,8
Penrose,1924,20
Penrose,1929,8
Wells Goodfellow,1909,1
Wells Goodfellow,1910,6
Baden,1932,9
Penrose,1925,2
Botanical Heights,1910,12
Botanical Heights,1900,13
Forest Park South East,1888,10
Forest Park South East,1893,8
Botanical Heights,1920,8
Jeff Vanderlou,1914,15
Walnut Park East,1953,2
Walnut Park East,1909,3
Walnut Park East,1927,11
Penrose,1926,4
O'Fallon,1909,1
Greater Ville,1890,16
Forest Park South East,1884,4
O'Fallon,1880,7
Walnut Park East,1921,2
Wells Goodfellow,1905,7
Jeff Vanderlou,1904,7
Benton Park,1897,3
Jeff Vanderlou,1892,10
Forest Park South East,1884,4
Baden,1914,7
Penrose,1914,2
Walnut Park West,1927,7
Jeff Vanderlou,1903,7
Jeff Vanderlou,1882,6
Fairground Neighborhood,1892,22
Fountain Park,1895,4
Fountain Park,1899,5
Academy,1894,8
Forest Park South East,1892,6
Academy,1895,4
North Pointe,1938,10
Hyde Park,1902,11
North Pointe,1924,1
Mark Twain,1909,3
St. Louis Place,1908,5
Fairground Neighborhood,1893,20
Baden,1911,4
Patch,1890,25
Hamilton Heights,1907,10
Penrose,1927,7
O'Fallon,1909,3
Greater Ville,1895,1
Walnut Park East,1926,3
Walnut Park East,1922,12
Baden,1929,11
Walnut Park West,1910,8
Mark Twain,1911,14
Walnut Park East,1919,7
Wells Goodfellow,1904,2
Mark Twain,1923,1
Kingsway East,1893,20
Penrose,1923,1
Mount Pleasant,1870,2
Jeff Vanderlou,1902,6
Covenant Blu-Grand Center,1890,6
Penrose,1951,12
Penrose,1951,12
O'Fallon,1913,7
Greater Ville,1915,13
Kingsway East,1894,13
Jeff Vanderlou,1884,20
St. Louis Place,1890,5
Jeff Vanderlou,1928,10
Jeff Vanderlou,1883,18
Jeff Vanderlou,1885,23
Jeff Vanderlou,1879,9
Jeff Vanderlou,1888,26
Jeff Vanderlou,1894,24
Jeff Vanderlou,1899,11
Jeff Vanderlou,1893,8
Jeff Vanderlou,1893,26
Jeff Vanderlou,1893,27
Jeff Vanderlou,1903,11
Forest Park South East,1900,14
Wells Goodfellow,1914,16
Ellendale,1947,11
St. Louis Place,1891,17
Academy,1891,10
Lewis Place,1890,5
West End,1909,16
Academy,1904,10
College Hill,1913,21
Baden,1894,6
Jeff Vanderlou,1900,11
Jeff Vanderlou,1894,8
Jeff Vanderlou,1898,9
Jeff Vanderlou,1930,9
Jeff Vanderlou,1884,4
St. Louis Place,1904,10
Jeff Vanderlou,1904,8
Jeff Vanderlou,1893,6
Jeff Vanderlou,1899,10
Jeff Vanderlou,1908,6
Fairground Neighborhood,1893,20
Greater Ville,1906,12
Lewis Place,1901,14
Covenant Blu-Grand Center,1937,5
Fountain Park,1893,5
Lewis Place,1905,8
Hamilton Heights,1906,2
Penrose,1925,7
Penrose,1910,12
Greater Ville,1926,11
Penrose,1921,8
Jeff Vanderlou,1903,5
Walnut Park East,1900,10
Walnut Park East,1927,10
Jeff Vanderlou,1893,8
Jeff Vanderlou,1883,11
Greater Ville,1916,4
Wells Goodfellow,1925,6
St. Louis Place,1898,5
St. Louis Place,1903,9
West End,1923,1
Wells Goodfellow,1926,11
Baden,1904,14
Greater Ville,1903,8
Fountain Park,1896,5
The Ville,1905,8
Hyde Park,1895,6
Jeff Vanderlou,1893,10
Carondelet,1906,12
Clayton-Tamm,1951,1
Lewis Place,1899,3
Forest Park South East,1895,3
Benton Park,1880,6
Benton Park West,1906,2
Mount Pleasant,1892,2
Botanical Heights,1897,7
Botanical Heights,1926,6
South Hampton,1956,4
Fountain Park,1904,1
Tower Grove South,1906,6
Kingsway West,1909,2
Forest Park South East,1904,5
Tower Grove South,1893,2
Benton Park,1890,8
Kingsway East,1897,1
Wells Goodfellow,1908,7
Lewis Place,1921,5
Benton Park West,1887,16
Lewis Place,1889,7
Shaw,1913,6
Greater Ville,1895,5
Greater Ville,1906,15
Lewis Place,1897,4
O'Fallon,1957,1
Hamilton Heights,1906,7
The Ville,1891,3
Kingsway East,1907,3
Wells Goodfellow,1906,2
Baden,1906,4
Mark Twain,1909,7
Kingsway East,1908,6
Penrose,1916,2
Greater Ville,1912,12
Baden,1897,20
Fountain Park,1902,1
College Hill,1890,22
College Hill,1893,4
Walnut Park West,1962,10
Academy,1906,4
Academy,1904,16
Forest Park South East,1907,5
Walnut Park East,1911,3
Lewis Place,1903,3
College Hill,1886,11
Central West End,1905,9
College Hill,1890,10
Penrose,1906,11
Fairground Neighborhood,1904,6
Hamilton Heights,1906,8
Greater Ville,1895,15
