GSID,Name,Type,GradeRange,Enrollment,Gsrating,ParentRating,City,State,DistrictId,District,DistrictNCESID,Address,Phone,fax,Website,ncesid,Lat,Long,OverviewLink,RatingLink,ReviewLink,SchoolStatLink,
1214,Blades Elementary School,public,K-5,508,4,5,Saint Louis,MO,294,Mehlville R-Ix School District,2920670,"5140 Patterson Road, \nSaint Louis, MO  63129",(314) 467-7300,(314) 467-7399,,292067001112,38.48263,-90.332695,https://www.greatschools.org/missouri/saint-louis/1214-Blades-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1214-Blades-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1214-Blades-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1214-Blades-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1995,Bryan Hill Elementary School,public,PK-5,187,1,,Saint Louis,MO,458,St. Louis City School District,2929280,"4342 Aldine Avenue, \nSaint Louis, MO  63113",(314) 534-0370,(314) 535-7864,,292928001888,38.65704,-90.244446,https://www.greatschools.org/missouri/saint-louis/1995-Bryan-Hill-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1995-Bryan-Hill-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1995-Bryan-Hill-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1995-Bryan-Hill-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1996,Buder Elementary School,public,PK-5,415,4,3,Saint Louis,MO,458,St. Louis City School District,2929280,"5319 Lansdowne Avenue, \nSaint Louis, MO  63109",(314) 352-4343,(314) 352-3150,http://www.slps.org/,292928001889,38.589,-90.28303,https://www.greatschools.org/missouri/saint-louis/1996-Buder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1996-Buder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1996-Buder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1996-Buder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1999,Clay Elementary School,public,PK-5,151,1,,Saint Louis,MO,458,St. Louis City School District,2929280,"3820 North 14th Street, \nSaint Louis, MO  63107",(314) 231-9608,(314) 231-1660,http://www.slps.org,292928001903,38.663113,-90.19932,https://www.greatschools.org/missouri/saint-louis/1999-Clay-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1999-Clay-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1999-Clay-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1999-Clay-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2000,Cole Elementary School,public,PK-8,399,2,4,Saint Louis,MO,458,St. Louis City School District,2929280,"3935 Enright Avenue, \nSaint Louis, MO  63108",(314) 533-0894,(314) 533-4509,http://www.slps.org/,292928001906,38.645164,-90.23821,https://www.greatschools.org/missouri/saint-louis/2000-Cole-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2000-Cole-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2000-Cole-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2000-Cole-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2085,Columbia Elementary Community Ed. Center,public,PK-6,151,1,,Saint Louis,MO,458,St. Louis City School District,2929280,"3120 Saint Louis Avenue, \nSaint Louis, MO  63106",(314) 533-2750,(314) 534-4062,,292928002693,38.65354,-90.21903,https://www.greatschools.org/missouri/saint-louis/2085-Columbia-Elementary-Community-Ed.-Center/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2085-Columbia-Elementary-Community-Ed.-Center/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2085-Columbia-Elementary-Community-Ed.-Center/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2085-Columbia-Elementary-Community-Ed.-Center/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1036,Conway Elementary School,public,K-4,319,,,Saint Louis,MO,246,Ladue School District,2917820,"9900 Conway Road, \nSaint Louis, MO  63124",(314) 993-2878,(314) 994-3988,,291782000942,38.640255,-90.392715,https://www.greatschools.org/missouri/saint-louis/1036-Conway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1036-Conway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1036-Conway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1036-Conway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
575,Cool Valley Elementary School,public,K-5,243,3,3,Saint Louis,MO,152,Ferguson-Florissant R-Ii School District,2912010,"1351 South Florissant Road, \nSaint Louis, MO  63121",(314) 521-5622,(314) 521-5624,,291201000457,38.727467,-90.305275,https://www.greatschools.org/missouri/saint-louis/575-Cool-Valley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/575-Cool-Valley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/575-Cool-Valley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/575-Cool-Valley-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2002,Cote Brilliante Elementary School,public,PK-6,218,3,2,Saint Louis,MO,458,St. Louis City School District,2929280,"4908 Cote Brilliante Avenue, \nSaint Louis, MO  63113",(314) 531-8680,(314) 531-7910,,292928001911,38.664413,-90.25812,https://www.greatschools.org/missouri/saint-louis/2002-Cote-Brilliante-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2002-Cote-Brilliante-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2002-Cote-Brilliante-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2002-Cote-Brilliante-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1490,Craig Elementary School,public,PK-5,472,5,5,Saint Louis,MO,364,Parkway C-2 School District,2923580,"1492 Craig Road, \nSaint Louis, MO  63146",(314) 415-6200,(314) 415-6212,http://www.parkwayschools.net,292358001382,38.684467,-90.44108,https://www.greatschools.org/missouri/saint-louis/1490-Craig-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1490-Craig-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1490-Craig-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1490-Craig-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1121,Crestwood Elementary School,public,K-5,463,8,5,Saint Louis,MO,265,Lindbergh Schools,2918690,"1020 Sappington Road, \nSaint Louis, MO  63126",(314) 729-2430,(314) 729-2432,http://go.lindberghschools.ws/Domain/12,291869001018,38.56325,-90.383,https://www.greatschools.org/missouri/saint-louis/1121-Crestwood-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1121-Crestwood-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1121-Crestwood-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1121-Crestwood-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1674,Danforth Elementary School,public,K-5,332,1,4,Saint Louis,MO,408,Riverview Gardens School District,2926670,"1111 Saint Cyr Road, \nSaint Louis, MO  63137",(314) 868-9524,(314) 388-6030,,292667001577,38.73503,-90.23304,https://www.greatschools.org/missouri/saint-louis/1674-Danforth-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1674-Danforth-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1674-Danforth-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1674-Danforth-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2080,Dewey School-Internat\'l. Studies,public,PK-5,470,3,4,Saint Louis,MO,458,St. Louis City School District,2929280,"815 Ann Avenue, \nSaint Louis, MO  63104",(314) 645-4845,(314) 645-5926,http://www.slps.org/Domain/419,292928002641,38.60569,-90.204895,https://www.greatschools.org/missouri/saint-louis/2080-Dewey-School-Internat\'l.-Studies/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2080-Dewey-School-Internat\'l.-Studies/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2080-Dewey-School-Internat\'l.-Studies/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2080-Dewey-School-Internat\'l.-Studies/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
5555,Discovery Ridge Elementary School,public,K-5,919,8,2,Lake Saint Louis,MO,512,Wentzville R-IV School District,2931650,"2523 Sommers Road, \nLake Saint Louis, MO  63367",(636) 561-2354,(636) 561-2355,,293165003155,38.748657,-90.78475,https://www.greatschools.org/missouri/lake-saint-louis/5555-Discovery-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/5555-Discovery-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/5555-Discovery-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/lake-saint-louis/5555-Discovery-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
3368,Duello Elementary School,public,K-5,795,7,4,Lake Saint Louis,MO,512,Wentzville R-IV School District,2931650,"1814 Duello Road, \nLake Saint Louis, MO  63367",(636) 327-6050,(636) 327-4211,,293165003080,38.776726,-90.82505,https://www.greatschools.org/missouri/lake-saint-louis/3368-Duello-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/3368-Duello-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/3368-Duello-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/lake-saint-louis/3368-Duello-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2004,Dunbar And Br.,public,PK-6,199,1,,Saint Louis,MO,458,St. Louis City School District,2929280,"1415 North Garrison Avenue, \nSaint Louis, MO  63106",(314) 533-2526,(314) 533-0269,,292928001916,38.6452,-90.22074,https://www.greatschools.org/missouri/saint-louis/2004-Dunbar-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2004-Dunbar-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2004-Dunbar-And-Br./?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2004-Dunbar-And-Br./?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
3055,Earl Nance Sr. Elementary School,public,PK-6,318,1,5,Saint Louis,MO,458,St. Louis City School District,2929280,"8959 Riverview Boulevard, \nSaint Louis, MO  63147",(314) 867-0634,(314) 867-1006,,292928002853,38.72143,-90.241104,https://www.greatschools.org/missouri/saint-louis/3055-Earl-Nance-Sr.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3055-Earl-Nance-Sr.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3055-Earl-Nance-Sr.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/3055-Earl-Nance-Sr.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
6873,Educ Therap Support At Madison,public,K-8,,,,Saint Louis,MO,458,St. Louis City School District,2929280,"118 South 7th St., \nSaint Louis, MO  63104",(314) 932-5711,,,292928003280,38.609524,-90.20057,https://www.greatschools.org/missouri/saint-louis/6873-Educ-Therap-Support-At-Madison/?utm_source=GSAPI&amp;utm_medium=referr,,,,
2005,Elias Michael Elementary School,public,PK-8,61,,,Saint Louis,MO,458,St. Louis City School District,2929280,"2 Gateway Dr, \nSaint Louis, MO  63106",(314) 241-0993,(314) 241-1335,,292928001917,38.642,-90.2105,https://www.greatschools.org/missouri/saint-louis/2005-Elias-Michael-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2005-Elias-Michael-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2005-Elias-Michael-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2005-Elias-Michael-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1987,External Location,public,K-12,,,,Saint Louis,MO,458,St. Louis City School District,2929280,"801 North 11th Street, \nSaint Louis, MO  63101",(314) 345-4452,,,292928001591,38.633404,-90.1945,https://www.greatschools.org/missouri/saint-louis/1987-External-Location/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1987-External-Location/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1987-External-Location/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1987-External-Location/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1695,External Sites,public,K-12,1926,1,,Saint Louis,MO,409,Specl. Sch. Dst. St. Louis County School District,2926760,"12110 Clayton Road, \nSaint Louis, MO  63131",(314) 989-8100,(314) 989-8156,,292676002628,38.630993,-90.44137,https://www.greatschools.org/missouri/saint-louis/1695-External-Sites/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1695-External-Sites/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1695-External-Sites/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1695-External-Sites/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2011,Farragut Elementary School,public,PK-6,165,4,4,Saint Louis,MO,458,St. Louis City School District,2929280,"4025 Sullivan Avenue, \nSaint Louis, MO  63107",(314) 531-1198,(314) 531-5356,http://www.slps.org/Domain/570,292928001923,38.662666,-90.22766,https://www.greatschools.org/missouri/saint-louis/2011-Farragut-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2011-Farragut-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2011-Farragut-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2011-Farragut-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2078,Ford-Ford Br. Elementary Community Ed.,public,PK-6,267,1,2,Saint Louis,MO,458,St. Louis City School District,2929280,"1383 Clara Avenue, \nSaint Louis, MO  63112",(314) 383-0836,(314) 383-0887,,292928002571,38.667137,-90.27847,https://www.greatschools.org/missouri/saint-louis/2078-Ford-Ford-Br.-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2078-Ford-Ford-Br.-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2078-Ford-Ford-Br.-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2078-Ford-Ford-Br.-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1224,Forder Elementary School,public,K-5,439,4,4,Saint Louis,MO,294,Mehlville R-Ix School District,2920670,"623 West Ripa Avenue, \nSaint Louis, MO  63125",(314) 467-5600,(314) 467-5699,http://mehlvilleforderelementary.ss11.sharpschool.com/,292067002420,38.524754,-90.28704,https://www.greatschools.org/missouri/saint-louis/1224-Forder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1224-Forder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1224-Forder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1224-Forder-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2014,Froebel Elementary School,public,PK-5,290,3,5,Saint Louis,MO,458,St. Louis City School District,2929280,"3709 Nebraska Avenue, \nSaint Louis, MO  63118",(314) 771-3533,(314) 771-3590,,292928001928,38.58841,-90.23392,https://www.greatschools.org/missouri/saint-louis/2014-Froebel-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2014-Froebel-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2014-Froebel-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2014-Froebel-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1984,Gateway Elementary School,public,PK-5,561,3,3,Saint Louis,MO,458,St. Louis City School District,2929280,"1200 Jefferson Avenue, \nSaint Louis, MO  63106",(314) 241-8255,(314) 241-3159,http://www.slps.org/Page/3030,292928001587,38.64136,-90.21277,https://www.greatschools.org/missouri/saint-louis/1984-Gateway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1984-Gateway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1984-Gateway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1984-Gateway-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
